i x t
6 5.1300001e-01 -2.1953812e-01
7 5.1300001e-01 -2.2198246e-01
8 5.1300001e-01 -2.2104010e-01
9 5.1300001e-01 -2.2014463e-01
10 5.1300001e-01 -2.1844919e-01
11 5.1300001e-01 -2.1991070e-01
12 5.1300001e-01 -2.2078903e-01
13 5.1300001e-01 -2.2096795e-01
14 5.1300001e-01 -2.2064428e-01
15 5.1300001e-01 -2.2164951e-01
16 5.1300001e-01 -2.1989164e-01
17 5.1300001e-01 -2.2074170e-01
18 5.1300001e-01 -2.2084722e-01
19 5.1300001e-01 -2.1980146e-01
20 5.1300001e-01 -2.2080724e-01
1 5.1400000e-01 -1.9782536e-01
2 5.1400000e-01 -1.9791432e-01
3 5.1400000e-01 -1.9661702e-01
4 5.1400000e-01 -1.9924912e-01
5 5.1400000e-01 -1.9722773e-01
6 5.1400000e-01 -1.9817807e-01
7 5.1400000e-01 -1.9831461e-01
8 5.1400000e-01 -1.9597411e-01
9 5.1400000e-01 -1.9821918e-01
10 5.1400000e-01 -1.9495873e-01
11 5.1400000e-01 -1.9891550e-01
12 5.1400000e-01 -1.9752292e-01
13 5.1400000e-01 -1.9797693e-01
14 5.1400000e-01 -1.9629347e-01
15 5.1400000e-01 -1.9965643e-01
16 5.1400000e-01 -1.9899617e-01
17 5.1400000e-01 -1.9711569e-01
18 5.1400000e-01 -1.9758183e-01
19 5.1400000e-01 -1.9639635e-01
20 5.1400000e-01 -1.9642311e-01
1 5.1499999e-01 -1.7295094e-01
2 5.1499999e-01 -1.7475067e-01
3 5.1499999e-01 -1.7402804e-01
4 5.1499999e-01 -1.7472705e-01
5 5.1499999e-01 -1.7524958e-01
6 5.1499999e-01 -1.7478374e-01
7 5.1499999e-01 -1.7582323e-01
8 5.1499999e-01 -1.7530851e-01
9 5.1499999e-01 -1.7516018e-01
10 5.1499999e-01 -1.7624748e-01
11 5.1499999e-01 -1.7418255e-01
12 5.1499999e-01 -1.7294635e-01
13 5.1499999e-01 -1.7561567e-01
14 5.1499999e-01 -1.7422475e-01
15 5.1499999e-01 -1.7542596e-01
16 5.1499999e-01 -1.7391030e-01
17 5.1499999e-01 -1.7504939e-01
18 5.1499999e-01 -1.7394896e-01
19 5.1499999e-01 -1.7538370e-01
20 5.1499999e-01 -1.7627387e-01
1 5.1599997e-01 -1.5205278e-01
2 5.1599997e-01 -1.5218124e-01
3 5.1599997e-01 -1.5089543e-01
4 5.1599997e-01 -1.5014878e-01
5 5.1599997e-01 -1.5193252e-01
6 5.1599997e-01 -1.5094396e-01
7 5.1599997e-01 -1.5199511e-01
8 5.1599997e-01 -1.4944965e-01
9 5.1599997e-01 -1.5194017e-01
10 5.1599997e-01 -1.5061963e-01
11 5.1599997e-01 -1.5092427e-01
12 5.1599997e-01 -1.5166588e-01
13 5.1599997e-01 -1.5231676e-01
14 5.1599997e-01 -1.5009074e-01
15 5.1599997e-01 -1.5187818e-01
16 5.1599997e-01 -1.5189949e-01
17 5.1599997e-01 -1.4954475e-01
18 5.1599997e-01 -1.5170519e-01
19 5.1599997e-01 -1.5120222e-01
20 5.1599997e-01 -1.5280014e-01
1 5.1700002e-01 -1.2898637e-01
2 5.1700002e-01 -1.2878565e-01
3 5.1700002e-01 -1.2880401e-01
4 5.1700002e-01 -1.2840205e-01
5 5.1700002e-01 -1.2712999e-01
6 5.1700002e-01 -1.2760612e-01
7 5.1700002e-01 -1.2874459e-01
8 5.1700002e-01 -1.2801251e-01
9 5.1700002e-01 -1.2899984e-01
10 5.1700002e-01 -1.2771423e-01
11 5.1700002e-01 -1.2828127e-01
12 5.1700002e-01 -1.2716947e-01
13 5.1700002e-01 -1.3058826e-01
14 5.1700002e-01 -1.2680851e-01
15 5.1700002e-01 -1.2659097e-01
16 5.1700002e-01 -1.2715515e-01
17 5.1700002e-01 -1.2880860e-01
18 5.1700002e-01 -1.2917762e-01
19 5.1700002e-01 -1.2762208e-01
20 5.1700002e-01 -1.2831399e-01
1 5.1800001e-01 -1.0518973e-01
2 5.1800001e-01 -1.0555418e-01
3 5.1800001e-01 -1.0556708e-01
4 5.1800001e-01 -1.0341143e-01
5 5.1800001e-01 -1.0313611e-01
6 5.1800001e-01 -1.0649671e-01
7 5.1800001e-01 -1.0665438e-01
8 5.1800001e-01 -1.0504734e-01
9 5.1800001e-01 -1.0449626e-01
10 5.1800001e-01 -1.0622965e-01
11 5.1800001e-01 -1.0475694e-01
12 5.1800001e-01 -1.0619252e-01
13 5.1800001e-01 -1.0470577e-01
14 5.1800001e-01 -1.0559267e-01
15 5.1800001e-01 -1.0675708e-01
16 5.1800001e-01 -1.0583436e-01
17 5.1800001e-01 -1.0395186e-01
18 5.1800001e-01 -1.0523973e-01
19 5.1800001e-01 -1.0631441e-01
20 5.1800001e-01 -1.0526785e-01
1 5.1899999e-01 -8.2690269e-02
2 5.1899999e-01 -8.3344340e-02
3 5.1899999e-01 -8.2050197e-02
4 5.1899999e-01 -8.1787236e-02
5 5.1899999e-01 -8.2219861e-02
