i x t
5 1.7000000e-01 -9.6242505e-01
6 1.7000000e-01 -9.6242511e-01
7 1.7000000e-01 -9.6242559e-01
8 1.7000000e-01 -9.6242481e-01
9 1.7000000e-01 -9.6242487e-01
10 1.7000000e-01 -9.6242499e-01
11 1.7000000e-01 -9.6242565e-01
12 1.7000000e-01 -9.6242487e-01
13 1.7000000e-01 -9.6242493e-01
14 1.7000000e-01 -9.6242470e-01
15 1.7000000e-01 -9.6242476e-01
16 1.7000000e-01 -9.6242464e-01
17 1.7000000e-01 -9.6242481e-01
18 1.7000000e-01 -9.6242547e-01
19 1.7000000e-01 -9.6242476e-01
20 1.7000000e-01 -9.6242440e-01
1 1.8000001e-01 -8.8785410e-01
2 1.8000001e-01 -8.8785428e-01
3 1.8000001e-01 -8.8785434e-01
4 1.8000001e-01 -8.8785428e-01
5 1.8000001e-01 -8.8785505e-01
6 1.8000001e-01 -8.8785434e-01
7 1.8000001e-01 -8.8785315e-01
8 1.8000001e-01 -8.8785326e-01
9 1.8000001e-01 -8.8785446e-01
10 1.8000001e-01 -8.8785326e-01
11 1.8000001e-01 -8.8785321e-01
12 1.8000001e-01 -8.8785332e-01
13 1.8000001e-01 -8.8785261e-01
14 1.8000001e-01 -8.8785356e-01
15 1.8000001e-01 -8.8785422e-01
16 1.8000001e-01 -8.8785326e-01
17 1.8000001e-01 -8.8785398e-01
18 1.8000001e-01 -8.8785285e-01
19 1.8000001e-01 -8.8785398e-01
20 1.8000001e-01 -8.8785261e-01
1 1.9000000e-01 -7.7653557e-01
2 1.9000000e-01 -7.7653444e-01
3 1.9000000e-01 -7.7653307e-01
4 1.9000000e-01 -7.7653366e-01
5 1.9000000e-01 -7.7653366e-01
6 1.9000000e-01 -7.7653432e-01
7 1.9000000e-01 -7.7653402e-01
8 1.9000000e-01 -7.7653474e-01
9 1.9000000e-01 -7.7653480e-01
10 1.9000000e-01 -7.7653331e-01
11 1.9000000e-01 -7.7653342e-01
12 1.9000000e-01 -7.7653319e-01
13 1.9000000e-01 -7.7653563e-01
14 1.9000000e-01 -7.7653432e-01
15 1.9000000e-01 -7.7653378e-01
16 1.9000000e-01 -7.7653491e-01
17 1.9000000e-01 -7.7653438e-01
18 1.9000000e-01 -7.7653390e-01
19 1.9000000e-01 -7.7653551e-01
20 1.9000000e-01 -7.7653378e-01
1 2.0000000e-01 -6.3285244e-01
2 2.0000000e-01 -6.3285178e-01
3 2.0000000e-01 -6.3285118e-01
4 2.0000000e-01 -6.3285345e-01
5 2.0000000e-01 -6.3285333e-01
6 2.0000000e-01 -6.3285148e-01
7 2.0000000e-01 -6.3285244e-01
8 2.0000000e-01 -6.3284999e-01
9 2.0000000e-01 -6.3285100e-01
10 2.0000000e-01 -6.3285077e-01
11 2.0000000e-01 -6.3285178e-01
12 2.0000000e-01 -6.3284910e-01
13 2.0000000e-01 -6.3284910e-01
14 2.0000000e-01 -6.3285226e-01
15 2.0000000e-01 -6.3285160e-01
16 2.0000000e-01 -6.3285202e-01
17 2.0000000e-01 -6.3285017e-01
18 2.0000000e-01 -6.3285196e-01
19 2.0000000e-01 -6.3285184e-01
20 2.0000000e-01 -6.3285315e-01
1 2.0999999e-01 -4.6256885e-01
2 2.0999999e-01 -4.6256879e-01
3 2.0999999e-01 -4.6256715e-01
4 2.0999999e-01 -4.6256799e-01
5 2.0999999e-01 -4.6256745e-01
6 2.0999999e-01 -4.6256879e-01
7 2.0999999e-01 -4.6256867e-01
8 2.0999999e-01 -4.6257123e-01
9 2.0999999e-01 -4.6256796e-01
10 2.0999999e-01 -4.6256799e-01
